PROV_TERR_EN,BENEFICIARY_NAME_EN,BENEFICIARY_BAND_NBR,ASSET_CLASS_EN,PROJECT_NAME_EN,PROJECT_DESC_EN,PROJECT_STAGE_EN,LATITUDE,LONGITUDE,COORD_SYS
Saskatchewan,Pelican Lake,405,Culture and recreation,Pelican Lake Cultural Centre,This is a new construction of an elders cultural centre at Pelican Lake First Nation. This facility will provide a home for traditional cultural events and feasts that will serve all families and community members. ,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Housing,Lot Servicing,To continue to provide support for the completion of services to 10 lots that have been partially serviced.,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Buffalo River Dene Nation,398,Housing,Housing Renovations,To complete renovations and additions of 10 housing units. ,Completed,55.92774872,-108.93996352,GCS_North_American_1983_CSRS
Saskatchewan,Buffalo River Dene Nation,398,Housing,Capacity - Management,To develop a Circuit Rider Training Program.,Completed,55.92774872,-108.93996352,GCS_North_American_1983_CSRS
Saskatchewan,Big River First Nation,404,Aboriginal Head Start on Reserve,Construction of a new early learning and child care facility space.,Construction of a new early learning and child care facility space.,Completed,53.5747946,-107.11076611,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Energy sustainability and connectivity,Capacity Building,Land use planning (LUP) unitland use coordinator surveyor and land use assistant. Surveys to implement LUPs and LUP workshops. Provide direct technical support to communities in immediate need.,Ongoing,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Water and wastewater,Lagoon Expansion,Birch Narrows lagoon expansion.,Ongoing,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Water and wastewater,Water Circuit Rider Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Education facilities,School Facilities Assessment,School facilities assessment of all tribal council member facilities as part of the proposed development of a joint education authority,Completed,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Makwa Sahgaiehcan First Nation,396,Education facilities,School Facilities Assessment,School facilities assessment of all tribal council member facilities as part of the proposed development of a joint education authority,Completed,54.02743022,-109.16529253,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Water and wastewater,Water Circuit Rider Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Housing,Housing Renovations,To complete renovations of 6 housing units to address health and safety issues and extend the useful life cycle of housing.,Completed,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Fundamental community infrastructure,Fire Protection Circuit Rider Training Pilot,To provide fire protection training and capacity development region-wide to all First Nations based on the Circuit Rider Training model.,Completed,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Waterhen Lake First Nation,402,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,54.52197793,-108.40942224,GCS_North_American_1983_CSRS
Saskatchewan,Waterhen Lake First Nation,402,Housing,Budget 2016  Immediate Needs Capacity (Housing Circuit Rider Training Initiative),Develop regional capacity to develop and deliver a housing circuit rider training program to member nations of the tribal council.,Completed,54.52197793,-108.40942224,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Housing,Budget 2017 - 5 Housing Units,Contructing 5 3-bedroom units.,Ongoing,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Housing,Budget 2017 - Housing Circuit Rider Training Program ,Housing Circuit Rider Training on housing management finance and governance. ,Ongoing,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Solid waste management,Waste Diversion,This project is to host a hazardous waste day.,Completed,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Solid waste management,Solid Waste Association of North America Training ,This project will provide Solid Waste Association of North America facilitated training.,Completed,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Solid waste management,Household Hazardous Waste Days,Conduct hazardous waste roundup at 35 communites including two northern fly-in communities.,Completed,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Solid waste management,Transfer Station Design,Designing transfer station.,Ongoing,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Solid waste management,Household Hazardous Waste and Diversion Project,Recyling of household hazardous waste along with other waste streams via provincial programs where available.,Completed,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,English River First Nation,400,Education facilities,School Facilities Assessment,School facilities assessment of all tribal council member facilities as part of the proposed development of a joint education authority,Completed,55.91533675,-107.71728255,GCS_North_American_1983_CSRS
Saskatchewan,Buffalo River Dene Nation,398,Fundamental community infrastructure,Fire Protection Circuit Rider Training Pilot,To provide fire protection training and capacity development region-wide to all First Nations based on the Circuit Rider Training model.,Completed,55.92774872,-108.93996352,GCS_North_American_1983_CSRS
Saskatchewan,Buffalo River Dene Nation,398,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,55.92774872,-108.93996352,GCS_North_American_1983_CSRS
Saskatchewan,Buffalo River Dene Nation,398,Housing,Budget 2016  Immediate Needs Capacity (Housing Circuit Rider Training Initiative),Develop regional capacity to develop and deliver a housing circuit rider training program to member nations of the tribal council.,Completed,55.92774872,-108.93996352,GCS_North_American_1983_CSRS
Saskatchewan,Buffalo River Dene Nation,398,Housing,Budget 2017 - Renovation 10 Units / Additions,Renovation of 10 units / additions.,Ongoing,55.92774872,-108.93996352,GCS_North_American_1983_CSRS
Saskatchewan,Buffalo River Dene Nation,398,Housing,Budget 2017 - Housing Circuit Rider Training Program ,Housing governance management training and finance. ,Ongoing,55.92774872,-108.93996352,GCS_North_American_1983_CSRS
Saskatchewan,Ministikwan Lake Cree Nation,397,Water and wastewater,New Lagoon,Ministikwan Lake Cree Nation lagoon expansion.,Ongoing,54.04799333,-109.66948261,GCS_North_American_1983_CSRS
Saskatchewan,Makwa Sahgaiehcan First Nation,396,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,54.02743022,-109.16529253,GCS_North_American_1983_CSRS
Saskatchewan,Makwa Sahgaiehcan First Nation,396,Culture and recreation,Makwa Sahgaiehcan Arena Renovations,Renovation of the existing facility that will provide a space for youth to play hockey (provide leisurely skate to families) and potentially provide a space to play lacrosse soccer and other activities in the summer.,Completed,54.02743022,-109.16529253,GCS_North_American_1983_CSRS
Saskatchewan,Makwa Sahgaiehcan First Nation,396,Culture and recreation,Makwa Sahgaiehcan Community Centre,Construction of a community centre as a safe and convenient venue to hold ongoing consultations with membership ceremonies and other community and cultural events.,Completed,54.02743022,-109.16529253,GCS_North_American_1983_CSRS
Saskatchewan,Makwa Sahgaiehcan First Nation,396,Culture and recreation,Makwa Sahgaiehcan Elders Lodge Renovations,Renovation and upgrades of elders lodge at Makwa Sahgaiehcan First Nation to support the needs of the elders and recognize their ongoing commitment to the community.,Completed,54.02743022,-109.16529253,GCS_North_American_1983_CSRS
Saskatchewan,Wood Mountain,388,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,49.33538113,-106.44930744,GCS_North_American_1983_CSRS
Saskatchewan,Waterhen Lake First Nation,402,Housing,Budget 2017 - Lot Servicing ,Lot servicing for future builds or upgrades - 6 units. ,Ongoing,54.52197793,-108.40942224,GCS_North_American_1983_CSRS
Saskatchewan,Waterhen Lake First Nation,402,Housing,Budget 2017 - Housing Circuit Rider Training Program ,Housing governance management training and finance. ,Ongoing,54.52197793,-108.40942224,GCS_North_American_1983_CSRS
Saskatchewan,Clearwater River Dene Nation,401,Water and wastewater,Water Treatment Plant Upgrade,Required upgrades to the water treatment plant in the main community and repairs to the temporary potable water system at The Landing to address the drinking water advisory and completion of feasibility for the long term plan at The Landing.,Ongoing,56.52819969,-109.4998139,GCS_North_American_1983_CSRS
Saskatchewan,Clearwater River Dene Nation,401,Water and wastewater,Water Circuit Rider Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,56.52819969,-109.4998139,GCS_North_American_1983_CSRS
Saskatchewan,Flying Dust First Nation,395,Fundamental community infrastructure,Fire Protection Circuit Rider Training Pilot,To provide fire protection training and capacity development region-wide to all First Nations based on the Circuit Rider Training model.,Completed,54.13541804,-108.4043236,GCS_North_American_1983_CSRS
Saskatchewan,Flying Dust First Nation,395,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,54.13541804,-108.4043236,GCS_North_American_1983_CSRS
Saskatchewan,English River First Nation,400,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,55.91533675,-107.71728255,GCS_North_American_1983_CSRS
Saskatchewan,English River First Nation,400,Housing,Housing Renovations,To complete renovations and additions of 10 housing units. ,Completed,55.91533675,-107.71728255,GCS_North_American_1983_CSRS
Saskatchewan,English River First Nation,400,Housing,Capacity - Management,To develop a Circuit Rider Training Program.,Completed,55.91533675,-107.71728255,GCS_North_American_1983_CSRS
Saskatchewan,English River First Nation,400,Housing,Capacity - Maintenance,To provide housing maintenance plans tenant training education and awareness.,Completed,55.91533675,-107.71728255,GCS_North_American_1983_CSRS
Saskatchewan,English River First Nation,400,Housing,Capacity - Management,To provide training on housing management program contract process reviews and database development.,Completed,55.91533675,-107.71728255,GCS_North_American_1983_CSRS
Saskatchewan,English River First Nation,400,Housing,Immediate Needs - Multi-Units,To complete construction of 3 duplexes for a total of 6 housing units.,Completed,55.91533675,-107.71728255,GCS_North_American_1983_CSRS
Saskatchewan,Kawacatoose First Nation,393,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,51.48178573,-104.40439208,GCS_North_American_1983_CSRS
Saskatchewan,Fishing Lake First Nation,390,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,51.85653159,-103.63237283,GCS_North_American_1983_CSRS
Saskatchewan,Fishing Lake First Nation,390,Culture and recreation,Fishing Lake Recreation Centre,To develop a recreation area with year-round access to the waters' edge and an area that provides safe and enjoyable recreation opportunities to the community.,Completed,51.85653159,-103.63237283,GCS_North_American_1983_CSRS
Saskatchewan,Fishing Lake First Nation,390,Culture and recreation,Fishing Lake Recreation Area,Reconstruction of the facility to support the ongoing activities that occur on the adjacent sports fields and cultural areas.,Completed,51.85653159,-103.63237283,GCS_North_American_1983_CSRS
Saskatchewan,Fishing Lake First Nation,390,Housing,Housing Renovations,To complete renovations of 6 housing units to address health and safety issues and extend the useful life cycle of housing.,Completed,51.85653159,-103.63237283,GCS_North_American_1983_CSRS
Saskatchewan,Fishing Lake First Nation,390,Housing,Capacity - Governance Management and Maintenance,To develop range of housing program initiatives: home maintenance inventory database inspection services policies and rental regimes.,Completed,51.85653159,-103.63237283,GCS_North_American_1983_CSRS
Saskatchewan,Fishing Lake First Nation,390,Housing,Capacity - Governance,To support housing policies community education and involvement.,Completed,51.85653159,-103.63237283,GCS_North_American_1983_CSRS
Saskatchewan,Wood Mountain,388,Culture and recreation,Wood Mountain Cultural and Interpretive Centre,To build an addition to the community centre that can be used as a cultural and interpretive centre.,Completed,49.33538113,-106.44930744,GCS_North_American_1983_CSRS
Saskatchewan,Wood Mountain,388,Fundamental community infrastructure,Fire Protection Circuit Rider Training Pilot,To provide fire protection training and capacity development region-wide to all First Nations based on the Circuit Rider Training model.,Completed,49.33538113,-106.44930744,GCS_North_American_1983_CSRS
Saskatchewan,Wood Mountain,388,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,49.33538113,-106.44930744,GCS_North_American_1983_CSRS
Saskatchewan,Wood Mountain,388,Housing,Budget 2017 - Housing Circuit Rider Training Program ,Housing Circuit Rider Training on housing management finance and governance. ,Ongoing,49.33538113,-106.44930744,GCS_North_American_1983_CSRS
Saskatchewan,Wood Mountain,388,Housing,Renovations10 Units/Additions,Renovate 10 homes.,Ongoing,49.33538113,-106.44930744,GCS_North_American_1983_CSRS
Saskatchewan,Wood Mountain,388,Solid waste management,Solid Waste Association of North America Training ,This project will provide Solid Waste Association of North America facilitated training.,Completed,49.33538113,-106.44930744,GCS_North_American_1983_CSRS
Saskatchewan,Okanese,382,Solid waste management,Solid Waste Association of North America Training ,This project will provide Solid Waste Association of North America facilitated training.,Completed,50.94425189,-103.35505605,GCS_North_American_1983_CSRS
Saskatchewan,Muscowpetung Saulteaux Nation,381,Education facilities,New School,Construction of a new school to replace the existing facility built in 1978.,Ongoing,50.77598387,-104.28387989,GCS_North_American_1983_CSRS
Saskatchewan,Flying Dust First Nation,395,Housing,Budget 2016  Immediate Needs Capacity (Housing Circuit Rider Training Initiative),Develop regional capacity to develop and deliver a housing circuit rider training program to member nations of the tribal council.,Completed,54.13541804,-108.4043236,GCS_North_American_1983_CSRS
Saskatchewan,Flying Dust First Nation,395,Housing,Budget 2017 Renovation 10 Units / Additions,Renovation of 10 units / additions.,Completed,54.13541804,-108.4043236,GCS_North_American_1983_CSRS
Saskatchewan,Flying Dust First Nation,395,Housing,Budget 2017 - Housing Circuit Rider Training Program ,Housing governance management training and finance. ,Ongoing,54.13541804,-108.4043236,GCS_North_American_1983_CSRS
Saskatchewan,Flying Dust First Nation,395,Housing,Budget 2017 - Capacity and Skills Development ,Youth skills development. The cost is shared with the Canada Mortgage and Housing Corporation. ,Completed,54.13541804,-108.4043236,GCS_North_American_1983_CSRS
Saskatchewan,Flying Dust First Nation,395,Solid waste management,Diversion Centre Feasibility Study,Solid waste feasibility study.,Completed,54.13541804,-108.4043236,GCS_North_American_1983_CSRS
Saskatchewan,Standing Buffalo Dakota First Nation ,386,Housing,Budget 2017 - Capacity Finance and Construction/Repair ,Housing management training and finance. ,Ongoing,50.80169678,-103.89485278,GCS_North_American_1983_CSRS
Saskatchewan,Standing Buffalo Dakota First Nation ,386,Housing,Budget 2017 - Housing Circuit Rider Training Program ,Housing Circuit Rider Training on housing management finance and governance. ,Ongoing,50.80169678,-103.89485278,GCS_North_American_1983_CSRS
Saskatchewan,Kawacatoose First Nation,393,Culture and recreation,Kawacatoose Elder/Youth Centre,Restoration of an existing building to make it functional for the Elders/Youth offer programming/activities and provide a space to call their own.,Completed,51.48178573,-104.40439208,GCS_North_American_1983_CSRS
Saskatchewan,Kawacatoose First Nation,393,Fundamental community infrastructure,Fire Protection Circuit Rider Training Pilot,To provide fire protection training and capacity development region-wide to all First Nations based on the Circuit Rider Training model.,Completed,51.48178573,-104.40439208,GCS_North_American_1983_CSRS
Saskatchewan,Kawacatoose First Nation,393,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,51.48178573,-104.40439208,GCS_North_American_1983_CSRS
Saskatchewan,Kawacatoose First Nation,393,Water and wastewater,Water Circuit Rider Program,Circuit Rider Training Program for First Nations not covered by a tribal council service.,Ongoing,51.48178573,-104.40439208,GCS_North_American_1983_CSRS
Saskatchewan,Kawacatoose First Nation,393,Housing,Immediate Needs - Renovations,To complete renovations of 10 housing units to address health and safety issues and extend the useful life cycle of housing.,Completed,51.48178573,-104.40439208,GCS_North_American_1983_CSRS
Saskatchewan,Peepeekisis Cree Nation No.81,384,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,50.86519265,-103.33924259,GCS_North_American_1983_CSRS
Saskatchewan,Yellow Quill First Nation,376,Housing,Budget 2017 - Renovation 10 Units / Additions,Renovation of 10 units / additions.,Ongoing,52.30323552,-103.62508117,GCS_North_American_1983_CSRS
Saskatchewan,Yellow Quill First Nation,376,Housing,Budget 2017 - Housing Circuit Rider Training Program ,Housing governance management training and finance. ,Ongoing,52.30323552,-103.62508117,GCS_North_American_1983_CSRS
Saskatchewan,Yellow Quill First Nation,376,Solid waste management,Waste Diversion,This project is to host a hazardous waste day.,Completed,52.30323552,-103.62508117,GCS_North_American_1983_CSRS
Saskatchewan,Yellow Quill First Nation,376,Solid waste management,Household Hazardous Waste Days,Conduct hazardous waste roundup at 35 communites including two northern fly-in communities.,Completed,52.30323552,-103.62508117,GCS_North_American_1983_CSRS
Saskatchewan,Yellow Quill First Nation,376,Solid waste management,Well Decommission,Decommissioning of abandonded wells.,Completed,52.30323552,-103.62508117,GCS_North_American_1983_CSRS
Saskatchewan,Yellow Quill First Nation,376,Solid waste management,Household Hazardous Waste and Diversion Project,Recyling of household hazardous waste along with other waste streams via provincial programs where available.,Completed,52.30323552,-103.62508117,GCS_North_American_1983_CSRS
Saskatchewan,Yellow Quill First Nation,376,Solid waste management,Municipal Type Service Agreement Pilot Project,Update municipal type service agreement funding as per the new funding formula to ensure First Nations are adequately funded to a level similar to that of off-reserve individuals.,Completed,52.30323552,-103.62508117,GCS_North_American_1983_CSRS
Saskatchewan,Muscowpetung Saulteaux Nation,381,Water and wastewater,Community Well Improvements and New Back-up Well,Community well improvements and new back-up well.,Ongoing,50.77598387,-104.28387989,GCS_North_American_1983_CSRS
Saskatchewan,Muscowpetung Saulteaux Nation,381,Water and wastewater,Water Circuit Rider Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,50.77598387,-104.28387989,GCS_North_American_1983_CSRS
Saskatchewan,Muscowpetung Saulteaux Nation,381,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,50.77598387,-104.28387989,GCS_North_American_1983_CSRS
Saskatchewan,Muscowpetung Saulteaux Nation,381,Housing,Capacity - Maintenance,To develop maintenance management plans and follow up work.,Completed,50.77598387,-104.28387989,GCS_North_American_1983_CSRS
Saskatchewan,Muscowpetung Saulteaux Nation,381,Housing,Immediate Needs - Renovations,To complete renovations of 10 housing units.,Completed,50.77598387,-104.28387989,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Housing,Housing Renovations,To complete renovations and additions of 10 housing units. ,Completed,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Standing Buffalo Dakota First Nation ,386,Solid waste management,Solid Waste Association of North America Training ,This project will provide Solid Waste Association of North America facilitated training.,Completed,50.80169678,-103.89485278,GCS_North_American_1983_CSRS
Saskatchewan,Standing Buffalo Dakota First Nation ,386,Solid waste management,Diversion Centre Feasibility Study,Solid waste feasibility study.,Completed,50.80169678,-103.89485278,GCS_North_American_1983_CSRS
Saskatchewan,Piapot First Nations,385,Water and wastewater,Water Circuit Rider Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,50.77705143,-104.42710169,GCS_North_American_1983_CSRS
Saskatchewan,Piapot First Nations,385,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,50.77705143,-104.42710169,GCS_North_American_1983_CSRS
Saskatchewan,Piapot First Nations,385,Culture and recreation,Piapot Pow-wow Arbour,Renovation of the existing pow-wow arbour which was damaged by winds in 2015.,Completed,50.77705143,-104.42710169,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Housing,Budget 2017 Renovation 10 Units / Additions,Renovation of 10 units / additions.,Ongoing,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Peepeekisis Cree Nation No.81,384,Housing,Immediate Needs - Multi-Units,To complete construction of 3 duplexes for a total of 6 housing units.,Completed,50.86519265,-103.33924259,GCS_North_American_1983_CSRS
Saskatchewan,Peepeekisis Cree Nation No.81,384,Housing,Immediate Needs - Renovations,To complete renovations of 10 housing units.,Completed,50.86519265,-103.33924259,GCS_North_American_1983_CSRS
Saskatchewan,Peepeekisis Cree Nation No.81,384,Fundamental community infrastructure,Fire Protection Circuit Rider Training Pilot,To provide fire protection training and capacity development region-wide to all First Nations based on the Circuit Rider Training model.,Completed,50.86519265,-103.33924259,GCS_North_American_1983_CSRS
Saskatchewan,Peepeekisis Cree Nation No.81,384,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,50.86519265,-103.33924259,GCS_North_American_1983_CSRS
Saskatchewan,Peepeekisis Cree Nation No.81,384,Housing,Immediate Needs - Renovations,To complete renovations of 10 housing units to address health and safety issues and extend the useful life cycle of housing.,Completed,50.86519265,-103.33924259,GCS_North_American_1983_CSRS
Saskatchewan,Kinistin Saulteaux Nation,377,Water and wastewater,Water Treatment Plant Upgrade,Water treatment plant upgrade.,Completed,52.60967325,-104.21911301,GCS_North_American_1983_CSRS
Saskatchewan,Kinistin Saulteaux Nation,377,Water and wastewater,Water Circuit Rider Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,52.60967325,-104.21911301,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Housing,Housing Innovation - Alternative Financing,To finance consultant and legal services required to develop legal agreements and framework to implement home ownership program through the Bank of Montreal.,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Housing,Capacity - Governance,To complete housing policies to include home ownership.,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Housing,Capacity - Maintenance,To provide basic home maintenance program for tenants.,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Housing,Capacity - Management,To upgrade current software and provide training to staff.,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Fundamental community infrastructure,Fire Protection Circuit Rider Training Pilot,To provide fire protection training and capacity development region-wide to all First Nations based on the Circuit Rider Training model.,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Water and wastewater,Water Circuit Rider Program,Circuit Rider Training Program for First Nations not covered by a tribal council service.,Ongoing,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Pelican Lake,405,Housing,Immediate Needs - Renovations,To complete renovations of 10 housing units to address health and safety issues and extend the useful life cycle of housing.,Completed,53.68440906,-107.78519907,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Housing,Capacity - Management,To develop a Circuit Rider Training Program.,Completed,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Fundamental community infrastructure,Fire Protection Circuit Rider Training Pilot,To provide fire protection training and capacity development region-wide to all First Nations based on the Circuit Rider Training model.,Completed,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Fundamental community infrastructure,Smoke Detector Installation Program,To install the required number of smoke detectors in all houses on reserve in the region.,Completed,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Birch Narrows First Nation,403,Energy sustainability and connectivity,2016-2017 Comprehensive Community Planning - Phase 1,Community development planning to support Birch Narrows First Nation community.,Completed,56.47238978,-108.68985066,GCS_North_American_1983_CSRS
Saskatchewan,Makwa Sahgaiehcan First Nation,396,Housing,Multi-Unit Housing New Build,To complete construction of 3 duplexes for a total of 6 housing units to reduce overcrowding and offer new housing to those in highest need.,Completed,54.02743022,-109.16529253,GCS_North_American_1983_CSRS
Saskatchewan,Makwa Sahgaiehcan First Nation,396,Housing,Housing Renovations,To complete renovations of 10 housing units to address health and safety issues and extend the useful life cycle of housing.,Completed,54.02743022,-109.16529253,GCS_North_American_1983_CSRS
Saskatchewan,Makwa Sahgaiehcan First Nation,396,Housing,Capacity - Management,To develop a Circuit Rider Training Program.,Completed,54.02743022,-109.16529253,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Housing,Budget 2017 - Housing Circuit Rider Training Program ,Housing Circuit Rider Training on housing management finance and governance. ,Ongoing,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Solid waste management,Solid Waste Association of North America Training ,This project will provide Solid Waste Association of North America facilitated training.,Completed,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Little Black Bear First Nation,379,Solid waste management,Diversion Centre Feasibility Study,Solid waste feasibility study.,Completed,51.00464079,-103.31634608,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Water and wastewater,Water Circuit Rider Training Program,This program is to provide training and support to First Nations water and wastewater operators. ,Ongoing,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,Carry the Kettle Band,378,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,50.35494607,-103.46747641,GCS_North_American_1983_CSRS
Saskatchewan,Clearwater River Dene Nation,401,Education facilities,School Facilities Assessment,School facilities assessment of all tribal council member facilities as part of the proposed development of a joint education authority,Completed,56.52819969,-109.4998139,GCS_North_American_1983_CSRS
Saskatchewan,Kinistin Saulteaux Nation,377,Energy sustainability and connectivity,Gasification,This project will plan design and construct a natural gas distribution system with individual metres and service connections to the remaining 30 homes not serviced on the Kinistin Reserve. The project includes the replacement of existing oil furnaces and fuel tanks from individual residential dwellings with high efficiency natural gas fired furnaces as well as the retrofitting of units that currently have electric heating and/or wood fired appliances.,Completed,52.60967325,-104.21911301,GCS_North_American_1983_CSRS
Saskatchewan,Kinistin Saulteaux Nation,377,Energy sustainability and connectivity,Band Office Connectivity,Project to deploy modern unified communications applications over broadband Internet to allow the Government and First Nations to reduce travel costs and increase frequency and effectiveness of communications.,Completed,52.60967325,-104.21911301,GCS_North_American_1983_CSRS
Saskatchewan,Kinistin Saulteaux Nation,377,Housing,Housing Capacity - Management,To develop a Circuit Rider Training Program (two-year initiative).,Completed,52.60967325,-104.21911301,GCS_North_American_1983_CSRS
Saskatchewan,Kinistin Saulteaux Nation,377,Housing,Immediate Needs - Multi-Units,To complete construction of 3 duplexes for a total of 6 housing units.,Completed,52.60967325,-104.21911301,GCS_North_American_1983_CSRS
